date,compound_score_weighted,total_volume_of_tweets,count_negatives,count_positives,count_neutrals,sent_negatives,sent_positives,count_news,count_bots,open,high,low,close,bitcoin_close_change,volume_btc,volume_currency,gold_value,gold_change,total_crimes,computer_related,financial_crimes,num_arrests,num_domestic,avg_latitude,avg_longitude
2017-10-18,0.08689169281229983,28147,4272,8656,11082,-0.3893533282313669,0.4336261336637685,19790,4137,5591.97,5617.75,5101.36,5582.05,-0.2726309602291144,18961.700000000004,101657249.60999998,1280.2,-0.3541545047674566,771,5,17,138,96,41.8488418437676,-87.67013053248172
2017-10-19,0.089464145232634,29935,3815,8468,13468,-0.3999206444224816,0.4509825653165753,21933,4184,5572.64,5735.14,5512.06,5698.69,2.089554912621705,9919.819999999998,56087316.59,1286.4,0.4842993282299757,772,0,21,140,109,41.84667631257163,-87.66565621327595
2017-10-20,0.07092890346492134,35962,5728,10276,16256,-0.3759986489332259,0.4320796275643775,24632,3702,5700.0,6074.0,5589.8,5977.29,4.888842874415,15109.05,89014299.88999999,1281.2,-0.4042288557214002,848,2,24,154,124,41.84836023062208,-87.67060602896505
2017-10-21,0.0707955637910022,30505,5218,9368,12170,-0.3891501885000294,0.4217617677473544,20892,3749,5977.26,6180.0,5871.0,6013.46,0.6051237266386567,15357.450000000004,92912504.81000002,1281.2,0.0,813,1,17,131,138,41.84827246973782,-87.66955432166624
2017-10-22,0.1090631276113226,22286,2741,7319,8967,-0.3760685773487466,0.4237279765669554,15577,3259,5944.94,6039.79,5700.0,5969.0,-0.7393414107685126,11329.54,66503159.08000001,1281.2,0.0,737,0,10,152,130,41.849995406545354,-87.67058707212358
2017-10-23,0.07979005046031322,35575,5334,9980,15650,-0.34541510945556314,0.4343984697585561,25205,4611,5967.38,6045.34,5617.75,5871.17,-1.6389680013402574,15331.619999999995,89530043.14999999,1274.9,-0.4917265064002474,738,3,32,128,107,41.84512707728493,-87.66852082666111
2017-10-24,0.05020486252166777,37368,6772,10702,15892,-0.3922042174887759,0.4102589338167288,27242,4002,5869.82,5870.0,5453.01,5523.4,-5.923350882362466,17286.739999999998,97560230.22,1276.45,0.12157816299316335,687,0,21,128,93,41.84194525034708,-87.6703676763132
2017-10-25,0.07247332112297797,33150,5900,9947,13172,-0.3807769333701148,0.4346206803894168,23680,4131,5518.49,5748.0,5366.0,5735.88,3.8469058912988574,12349.119999999995,68370411.15,1275.0,-0.1135963022445119,714,2,18,125,95,41.84481145727757,-87.66800259806114
2017-10-26,0.08572928897607597,30772,5210,9857,12067,-0.3716219842910957,0.4372745255794136,22030,3638,5741.35,5988.0,5683.0,5890.0,2.6869460309490334,11788.29,69079451.8,1273.75,-0.09803921568627416,753,2,27,148,105,41.84113910205174,-87.66614020088569
2017-10-27,0.07600248156762197,28351,4926,8483,10936,-0.3650308964532551,0.4348096141930005,20108,4006,5889.99,5994.06,5674.06,5771.89,-2.005263157894732,11911.05,69053794.44,1266.45,-0.5731108930323803,817,1,22,128,89,41.84390944011752,-87.6680245204369
2017-10-28,0.10503690066686257,22638,3627,7115,8287,-0.3516956393932693,0.4507713882429281,15948,3609,5773.03,5875.66,5646.18,5730.69,-0.7138043171301067,5926.29,33993472.69,1266.45,0.0,716,0,19,137,99,41.853086006112854,-87.67280676447676
2017-10-29,0.07105764441134292,24995,4127,6752,9621,-0.3730303428193221,0.4421004184394688,16796,4495,5731.7,6316.85,5683.0,6137.37,7.0965276432680895,16086.64,96361934.3,1266.45,0.0,696,1,10,129,126,41.84430612665546,-87.66894443001448
2017-10-30,0.0654093851549974,33014,4914,8926,15116,-0.38388421466516426,0.4259620378804545,24692,4058,6133.01,6229.77,6024.03,6119.99,-0.2831831875868662,9574.64,58637080.13999999,1272.0,0.4382328556200353,708,1,16,128,88,41.84668836868101,-87.6699504212318
2017-10-31,0.08382746189115088,37007,4922,9807,17484,-0.3765506518083228,0.4627583035719685,25871,4794,6120.0,6449.78,6072.81,6434.21,5.134322114905432,13423.339999999998,84354477.97,1270.15,-0.14544025157231522,756,0,28,119,114,41.84209719099592,-87.67037834610814
2017-11-01,0.08830303897772322,38412,5615,11971,16313,-0.3701799418163308,0.4293089279797526,27404,4513,6434.24,6756.36,6340.01,6741.59,4.777276464398894,12967.220000000005,84891427.32000001,1277.05,0.5432429240640689,816,0,57,134,131,41.844011313287936,-87.67035814211454
2017-11-02,0.08813226306023103,46917,6604,16068,19925,-0.404630544255931,0.4006726200343457,31164,4320,6745.04,7354.1,6700.0,7030.0,4.278070900188236,26514.66,184979262.33,1279.2,0.1683567597196678,722,0,12,139,104,41.84614646272927,-87.66703860046013
2017-11-03,0.09934997443121216,37826,5235,12257,15868,-0.3951635285433553,0.4366638449636263,26137,4466,7030.0,7500.0,6925.22,7146.82,1.6617354196301504,15999.76,116037544.13,1267.2,-0.9380863039399668,788,2,19,138,99,41.84872563041566,-87.6686432010541
2017-11-04,0.11307978789453005,27583,3698,9063,10583,-0.4002165544296363,0.4527159057148382,18388,4239,7145.24,7569.9,6994.0,7388.83,3.3862613022295207,9200.13,66730277.41,1267.2,0.0,754,0,11,135,112,41.83967582437151,-87.66739471128936
2017-11-05,0.0934639310701146,29027,4908,9269,10623,-0.3780262901353288,0.4462622660957212,19002,4227,7388.79,7590.0,7275.16,7372.72,-0.2180318128851222,9218.31,68631151.83000001,1267.2,0.0,773,0,10,156,137,41.85117739069726,-87.66726570270781
